Account,ATMID,caldate,Dispense,DT,MaxCapacity,CountTotalTxn
ABC,APAN22403,03-01-2021,216000,171,2420000,43
ABC,APAN35706,03-01-2021,1000,0,2860000,1
XYZ,T1NY000166081,03-01-2021,1541400,0,3520000,279
ABC,SPCN02020,04-01-2021,164600,168,2640000,65
ABC,TPCN10269,04-01-2021,781500,0,3520000,143
ABC,APCN00816,04-01-2021,63400,0,2640000,30
PQR,S1CN1142,04-01-2021,223500,0,3520000,37
PQR,S1CN2022,04-01-2021,1413500,17,2860000,374
PQR,SPCND067,04-01-2021,95500,480,3520000,40
ABC,APAN11109,04-01-2021,149000,1064,3520000,53
ABC,APAN23217,04-01-2021,225500,0,3740000,98
PQR,SPCNG376,04-01-2021,0,1440,3520000,0
PQR,S1CN3514,04-01-2021,364000,5,3520000,101
PQR,S1CN2820,04-01-2021,400000,5,3520000,123
ABC,APAN22403,04-01-2021,418300,6,2420000,108
ABC,APAN35706,04-01-2021,77000,0,2860000,13
XYZ,T1NY000166081,04-01-2021,909100,0,3520000,162
ABC,SPCN02020,05-01-2021,400300,0,2640000,109
ABC,TPCN10269,05-01-2021,703000,233,3520000,95
ABC,APCN00816,05-01-2021,45200,398,2640000,21
PQR,S1CN1142,05-01-2021,473500,17,3520000,52
PQR,S1CN2022,05-01-2021,790300,16,2860000,240
PQR,SPCND067,05-01-2021,625000,791,3520000,128
ABC,APAN11109,05-01-2021,531000,133,3520000,156
ABC,APAN23217,05-01-2021,385100,1,3740000,114
PQR,SPCNG376,05-01-2021,0,1074,3520000,14
PQR,S1CN3514,05-01-2021,522500,6,3520000,152
PQR,S1CN2820,05-01-2021,342800,0,3520000,90
ABC,APAN22403,05-01-2021,416000,50,2420000,85
ABC,APAN35706,05-01-2021,41900,0,2860000,15
XYZ,T1NY000166081,05-01-2021,1258300,0,3520000,196
ABC,SPCN02020,06-01-2021,267500,3,2640000,100
ABC,TPCN10269,06-01-2021,357500,930,3520000,70
ABC,APCN00816,06-01-2021,0,1290,2640000,19
PQR,S1CN1142,06-01-2021,370000,0,3520000,35
PQR,S1CN2022,06-01-2021,944600,5,2860000,317
PQR,SPCND067,06-01-2021,406000,364,3520000,95
ABC,APAN11109,06-01-2021,439000,487,3520000,119
ABC,APAN23217,06-01-2021,595900,0,3740000,142
PQR,SPCNG376,06-01-2021,247500,10,3520000,84
PQR,S1CN3514,06-01-2021,320500,0,3520000,104
PQR,S1CN2820,06-01-2021,418400,0,3520000,121
ABC,APAN22403,06-01-2021,517000,8,2420000,101
ABC,APAN35706,06-01-2021,22200,0,2860000,8
XYZ,T1NY000166081,06-01-2021,1345500,0,3520000,181
ABC,SPCN02020,07-01-2021,468800,172,2640000,128
ABC,TPCN10269,07-01-2021,606500,5,3520000,116
ABC,APCN00816,07-01-2021,116000,0,2640000,39
PQR,S1CN1142,07-01-2021,582500,0,3520000,47
PQR,S1CN2022,07-01-2021,1412400,18,2860000,367
PQR,SPCND067,07-01-2021,680000,655,3520000,175
ABC,APAN11109,07-01-2021,0,1440,3520000,19
ABC,APAN23217,07-01-2021,401500,6,3740000,110
PQR,SPCNG376,07-01-2021,413000,39,3520000,95
PQR,S1CN3514,07-01-2021,491500,106,3520000,157
PQR,S1CN2820,07-01-2021,314800,6,3520000,111
ABC,APAN22403,07-01-2021,0,0,2420000,17
ABC,APAN35706,07-01-2021,18800,9,2860000,7
XYZ,T1NY000166081,07-01-2021,1566500,0,3520000,243
ABC,SPCN02020,08-01-2021,653000,4,2640000,150
ABC,TPCN10269,08-01-2021,994500,0,3520000,143
ABC,APCN00816,08-01-2021,260000,6,2640000,82
PQR,S1CN1142,08-01-2021,351500,0,3520000,47
PQR,S1CN2022,08-01-2021,1673600,22,2860000,442
PQR,SPCND067,08-01-2021,748500,26,3520000,140
ABC,APAN11109,08-01-2021,161500,1143,3520000,61
ABC,APAN23217,08-01-2021,427300,5,3740000,117
PQR,SPCNG376,08-01-2021,457500,6,3520000,111
PQR,S1CN3514,08-01-2021,533000,6,3520000,168
PQR,S1CN2820,08-01-2021,154900,17,3520000,55
ABC,APAN22403,08-01-2021,0,6,2420000,30
ABC,APAN35706,08-01-2021,28900,0,2860000,11
XYZ,T1NY000166081,08-01-2021,1145800,0,3520000,180
ABC,SPCN02020,09-01-2021,779000,0,2640000,175
ABC,TPCN10269,09-01-2021,784000,2,3520000,125
ABC,APCN00816,09-01-2021,120500,0,2640000,24
PQR,S1CN1142,09-01-2021,222000,0,3520000,34
PQR,S1CN2022,09-01-2021,1587300,17,2860000,402
PQR,SPCND067,09-01-2021,694500,6,3520000,108
ABC,APAN11109,09-01-2021,487000,522,3520000,136
ABC,APAN23217,09-01-2021,480200,0,3740000,120
PQR,SPCNG376,09-01-2021,484500,0,3520000,102
PQR,S1CN3514,09-01-2021,754000,22,3520000,162
PQR,S1CN2820,09-01-2021,293700,45,3520000,71
ABC,APAN22403,09-01-2021,828500,0,2420000,182
ABC,APAN35706,09-01-2021,31400,0,2860000,13
XYZ,T1NY000166081,09-01-2021,1175000,0,3520000,166
ABC,SPCN02020,10-01-2021,634100,0,2640000,169
ABC,TPCN10269,10-01-2021,394500,0,3520000,97
ABC,APCN00816,10-01-2021,0,0,2640000,5
PQR,S1CN1142,10-01-2021,238500,0,3520000,26
PQR,S1CN2022,10-01-2021,1209000,0,2860000,465
PQR,SPCND067,10-01-2021,367000,0,3520000,71
ABC,APAN11109,10-01-2021,0,1440,3520000,1
ABC,APAN23217,10-01-2021,314800,0,3740000,93
PQR,SPCNG376,10-01-2021,332000,0,3520000,76
PQR,S1CN3514,10-01-2021,351000,300,3520000,104
PQR,S1CN2820,10-01-2021,416000,0,3520000,130
ABC,APAN22403,10-01-2021,319500,5,2420000,72
ABC,APAN35706,10-01-2021,4000,0,2860000,1
XYZ,T1NY000166081,10-01-2021,2105000,0,3520000,341
ABC,SPCN02020,11-01-2021,359500,5,2640000,136
ABC,TPCN10269,11-01-2021,856000,5,3520000,150
ABC,APCN00816,11-01-2021,41600,271,2640000,26
PQR,S1CN1142,11-01-2021,951500,0,3520000,100
PQR,S1CN2022,11-01-2021,656000,483,2860000,243
PQR,SPCND067,11-01-2021,569000,14,3520000,145
ABC,APAN11109,11-01-2021,128000,1170,3520000,37
ABC,APAN23217,11-01-2021,308600,7,3740000,131
PQR,SPCNG376,11-01-2021,430500,0,3520000,117
PQR,S1CN3514,11-01-2021,14000,1251,3520000,55
PQR,S1CN2820,11-01-2021,341900,12,3520000,95
ABC,APAN22403,11-01-2021,471000,0,2420000,104
ABC,APAN35706,11-01-2021,28000,0,2860000,12
XYZ,T1NY000166081,11-01-2021,920000,0,3520000,158
ABC,SPCN02020,12-01-2021,753500,3,2640000,174
ABC,TPCN10269,12-01-2021,555000,1,3520000,96
ABC,APCN00816,12-01-2021,66400,0,2640000,32
PQR,S1CN1142,12-01-2021,483500,7,3520000,60
PQR,S1CN2022,12-01-2021,1640900,12,2860000,442
PQR,SPCND067,12-01-2021,489000,22,3520000,110
ABC,APAN11109,12-01-2021,850500,2,3520000,230
ABC,APAN23217,12-01-2021,443200,0,3740000,103
PQR,SPCNG376,12-01-2021,505000,0,3520000,118
PQR,S1CN3514,12-01-2021,625000,0,3520000,187
PQR,S1CN2820,12-01-2021,396000,17,3520000,110
ABC,APAN22403,12-01-2021,458000,9,2420000,94
ABC,APAN35706,12-01-2021,27000,0,2860000,7
XYZ,T1NY000166081,12-01-2021,1590300,0,3520000,284
ABC,SPCN02020,13-01-2021,629200,4,2640000,146
ABC,TPCN10269,13-01-2021,373000,6,3520000,86
ABC,APCN00816,13-01-2021,184000,4,2640000,48
PQR,S1CN1142,13-01-2021,519500,0,3520000,43
PQR,S1CN2022,13-01-2021,1175800,22,2860000,394
PQR,SPCND067,13-01-2021,754500,0,3520000,170
ABC,APAN11109,13-01-2021,235500,483,3520000,78
ABC,APAN23217,13-01-2021,484600,66,3740000,140
PQR,SPCNG376,13-01-2021,182500,153,3520000,75
PQR,S1CN3514,13-01-2021,649500,0,3520000,193
PQR,S1CN2820,13-01-2021,401500,7,3520000,94
ABC,APAN22403,13-01-2021,444000,5,2420000,92
ABC,APAN35706,13-01-2021,21400,0,2860000,9
XYZ,T1NY000166081,13-01-2021,872900,0,3520000,169
ABC,SPCN02020,14-01-2021,565900,3,2640000,140
ABC,TPCN10269,14-01-2021,555500,0,3520000,103
ABC,APCN00816,14-01-2021,23500,351,2640000,15
PQR,S1CN1142,14-01-2021,206500,49,3520000,36
PQR,S1CN2022,14-01-2021,548500,0,2860000,216
PQR,SPCND067,14-01-2021,380000,5,3520000,78
ABC,APAN11109,14-01-2021,734000,0,3520000,184
ABC,APAN23217,14-01-2021,539300,64,3740000,126
PQR,SPCNG376,14-01-2021,420500,0,3520000,107
PQR,S1CN3514,14-01-2021,378500,0,3520000,174
PQR,S1CN2820,14-01-2021,459000,0,3520000,116
ABC,APAN22403,14-01-2021,410300,4,2420000,90
ABC,APAN35706,14-01-2021,26900,2,2860000,9
XYZ,T1NY000166081,14-01-2021,1480900,0,3520000,272
ABC,SPCN02020,15-01-2021,476100,13,2640000,133
ABC,TPCN10269,15-01-2021,706500,0,3520000,122
ABC,APCN00816,15-01-2021,87000,0,2640000,37
PQR,S1CN1142,15-01-2021,297500,0,3520000,39
PQR,S1CN2022,15-01-2021,444400,16,2860000,187
PQR,SPCND067,15-01-2021,795000,0,3520000,137
ABC,APAN11109,15-01-2021,586500,47,3520000,154
ABC,APAN23217,15-01-2021,78800,493,3740000,24
PQR,SPCNG376,15-01-2021,349500,0,3520000,108
PQR,S1CN3514,15-01-2021,664500,5,3520000,204
PQR,S1CN2820,15-01-2021,682300,5,3520000,167
ABC,APAN22403,15-01-2021,386900,3,2420000,75
ABC,APAN35706,15-01-2021,46500,0,2860000,10
XYZ,T1NY000166081,15-01-2021,930300,0,3520000,156
ABC,SPCN02020,16-01-2021,711000,16,2640000,175
ABC,TPCN10269,16-01-2021,806500,0,3520000,123
ABC,APCN00816,16-01-2021,122100,0,2640000,43
PQR,S1CN1142,16-01-2021,439000,5,3520000,56
PQR,S1CN2022,16-01-2021,641500,6,2860000,228
PQR,SPCND067,16-01-2021,735500,16,3520000,186
ABC,APAN11109,16-01-2021,654500,5,3520000,171
ABC,APAN23217,16-01-2021,0,751,3740000,0
PQR,SPCNG376,16-01-2021,322000,5,3520000,92
PQR,S1CN3514,16-01-2021,512500,409,3520000,155
PQR,S1CN2820,16-01-2021,333700,6,3520000,102
ABC,APAN22403,16-01-2021,344400,0,2420000,87
ABC,APAN35706,16-01-2021,179100,0,2860000,40
XYZ,T1NY000166081,16-01-2021,895800,0,3520000,159
ABC,SPCN02020,17-01-2021,574500,0,2640000,165
ABC,TPCN10269,17-01-2021,674500,0,3520000,127
ABC,APCN00816,17-01-2021,3500,0,2640000,4
PQR,S1CN1142,17-01-2021,390500,0,3520000,47
PQR,S1CN2022,17-01-2021,563200,0,2860000,247
PQR,SPCND067,17-01-2021,340500,12,3520000,100
ABC,APAN11109,17-01-2021,184500,752,3520000,76
ABC,APAN23217,17-01-2021,0,798,3740000,0
PQR,SPCNG376,17-01-2021,118000,134,3520000,42
PQR,S1CN3514,17-01-2021,343000,0,3520000,132
PQR,S1CN2820,17-01-2021,489000,0,3520000,139
ABC,APAN22403,17-01-2021,192800,0,2420000,46
ABC,APAN35706,17-01-2021,20700,3,2860000,7
XYZ,T1NY000166081,17-01-2021,726600,0,3520000,142
ABC,SPCN02020,18-01-2021,335500,0,2640000,121
ABC,TPCN10269,18-01-2021,852500,5,3520000,138
ABC,APCN00816,18-01-2021,105900,3,2640000,34
PQR,S1CN1142,18-01-2021,345500,0,3520000,40
PQR,S1CN2022,18-01-2021,847500,6,2860000,300
PQR,SPCND067,18-01-2021,747000,22,3520000,159
ABC,APAN11109,18-01-2021,0,1440,3520000,13
ABC,APAN23217,18-01-2021,247400,981,3740000,72
PQR,SPCNG376,18-01-2021,213000,11,3520000,70
PQR,S1CN3514,18-01-2021,501000,6,3520000,185
PQR,S1CN2820,18-01-2021,351000,5,3520000,95
ABC,APAN22403,18-01-2021,400600,9,2420000,89
ABC,APAN35706,18-01-2021,167200,0,2860000,38
XYZ,T1NY000166081,18-01-2021,680300,0,3520000,113
ABC,SPCN02020,19-01-2021,346700,6,2640000,108
ABC,TPCN10269,19-01-2021,916000,0,3520000,142
ABC,APCN00816,19-01-2021,102600,0,2640000,31
PQR,S1CN1142,19-01-2021,695500,6,3520000,67
PQR,S1CN2022,19-01-2021,510900,254,2860000,192
PQR,SPCND067,19-01-2021,501000,6,3520000,110
ABC,APAN11109,19-01-2021,0,1440,3520000,16
ABC,APAN23217,19-01-2021,268400,451,3740000,84
PQR,SPCNG376,19-01-2021,346000,0,3520000,101
PQR,S1CN3514,19-01-2021,610500,0,3520000,176
PQR,S1CN2820,19-01-2021,606000,6,3520000,166
ABC,APAN22403,19-01-2021,359600,0,2420000,92
ABC,APAN35706,19-01-2021,23500,0,2860000,17
XYZ,T1NY000166081,19-01-2021,856400,0,3520000,142
ABC,SPCN02020,20-01-2021,691000,3,2640000,217
ABC,TPCN10269,20-01-2021,832000,8,3520000,141
ABC,APCN00816,20-01-2021,248000,0,2640000,49
PQR,S1CN1142,20-01-2021,416500,0,3520000,44
PQR,S1CN2022,20-01-2021,279600,145,2860000,108
PQR,SPCND067,20-01-2021,278500,7,3520000,74
ABC,APAN11109,20-01-2021,0,1440,3520000,13
ABC,APAN23217,20-01-2021,206100,755,3740000,83
PQR,SPCNG376,20-01-2021,221500,6,3520000,88
PQR,S1CN3514,20-01-2021,334500,0,3520000,105
PQR,S1CN2820,20-01-2021,458200,11,3520000,164
ABC,APAN22403,20-01-2021,275300,3,2420000,81
ABC,APAN35706,20-01-2021,74900,609,2860000,16
XYZ,T1NY000166081,20-01-2021,1385300,0,3520000,182
ABC,SPCN02020,21-01-2021,604800,173,2640000,148
ABC,TPCN10269,21-01-2021,682500,5,3520000,105
ABC,APCN00816,21-01-2021,144200,69,2640000,44
PQR,S1CN1142,21-01-2021,327500,6,3520000,41
PQR,S1CN2022,21-01-2021,588800,0,2860000,202
PQR,SPCND067,21-01-2021,490500,16,3520000,117
ABC,APAN11109,21-01-2021,10000,1230,3520000,10
ABC,APAN23217,21-01-2021,569700,3,3740000,182
PQR,SPCNG376,21-01-2021,345500,5,3520000,102
PQR,S1CN3514,21-01-2021,539000,0,3520000,156
PQR,S1CN2820,21-01-2021,230400,211,3520000,73
ABC,APAN22403,21-01-2021,294200,0,2420000,88
ABC,APAN35706,21-01-2021,48600,660,2860000,15
XYZ,T1NY000166081,21-01-2021,1268500,0,3520000,187
ABC,SPCN02020,22-01-2021,637700,17,2640000,171
ABC,TPCN10269,22-01-2021,907000,5,3520000,156
ABC,APCN00816,22-01-2021,49800,268,2640000,33
PQR,S1CN1142,22-01-2021,324500,0,3520000,34
PQR,S1CN2022,22-01-2021,484100,0,2860000,221
PQR,SPCND067,22-01-2021,551500,11,3520000,129
ABC,APAN11109,22-01-2021,479500,11,3520000,122
ABC,APAN23217,22-01-2021,380600,423,3740000,151
PQR,SPCNG376,22-01-2021,274500,0,3520000,104
PQR,S1CN3514,22-01-2021,361500,0,3520000,116
PQR,S1CN2820,22-01-2021,178400,838,3520000,67
ABC,APAN22403,22-01-2021,319000,168,2420000,78
ABC,APAN35706,22-01-2021,29200,0,2860000,9
XYZ,T1NY000166081,22-01-2021,852100,0,3520000,159
ABC,SPCN02020,23-01-2021,368200,0,2640000,139
ABC,TPCN10269,23-01-2021,585500,10,3520000,91
ABC,APCN00816,23-01-2021,14000,0,2640000,14
PQR,S1CN1142,23-01-2021,419000,116,3520000,57
PQR,S1CN2022,23-01-2021,630300,22,2860000,258
PQR,SPCND067,23-01-2021,460500,0,3520000,109
ABC,APAN11109,23-01-2021,614000,0,3520000,138
ABC,APAN23217,23-01-2021,472900,0,3740000,145
PQR,SPCNG376,23-01-2021,215500,0,3520000,84
PQR,S1CN3514,23-01-2021,401500,0,3520000,124
PQR,S1CN2820,23-01-2021,418300,0,3520000,119
ABC,APAN22403,23-01-2021,394600,0,2420000,126
ABC,APAN35706,23-01-2021,19000,0,2860000,6
XYZ,T1NY000166081,23-01-2021,798900,0,3520000,157
ABC,SPCN02020,24-01-2021,369300,0,2640000,143
ABC,TPCN10269,24-01-2021,417500,0,3520000,91
ABC,APCN00816,24-01-2021,3200,0,2640000,10
PQR,S1CN1142,24-01-2021,375500,0,3520000,48
PQR,S1CN2022,24-01-2021,714600,0,2860000,356
PQR,SPCND067,24-01-2021,328500,0,3520000,76
ABC,APAN11109,24-01-2021,319500,556,3520000,64
ABC,APAN23217,24-01-2021,8600,11,3740000,20
PQR,SPCNG376,24-01-2021,164000,301,3520000,46
PQR,S1CN3514,24-01-2021,316500,0,3520000,136
PQR,S1CN2820,24-01-2021,338000,0,3520000,110
ABC,APAN22403,24-01-2021,185600,6,2420000,44
ABC,APAN35706,24-01-2021,1200,0,2860000,2
XYZ,T1NY000166081,24-01-2021,887800,0,3520000,192
ABC,SPCN02020,25-01-2021,436600,4,2640000,134
ABC,TPCN10269,25-01-2021,608500,528,3520000,109
ABC,APCN00816,25-01-2021,88200,0,2640000,32
PQR,S1CN1142,25-01-2021,195500,0,3520000,50
PQR,S1CN2022,25-01-2021,611200,11,2860000,290
PQR,SPCND067,25-01-2021,718000,6,3520000,134
ABC,APAN11109,25-01-2021,89000,962,3520000,45
ABC,APAN23217,25-01-2021,629800,0,3740000,181
PQR,SPCNG376,25-01-2021,502500,29,3520000,116
PQR,S1CN3514,25-01-2021,644000,0,3520000,207
PQR,S1CN2820,25-01-2021,54600,712,3520000,32
ABC,APAN22403,25-01-2021,380600,0,2420000,96
ABC,APAN35706,25-01-2021,19600,0,2860000,8
XYZ,T1NY000166081,25-01-2021,776700,0,3520000,169
ABC,SPCN02020,26-01-2021,443500,0,2640000,139
ABC,TPCN10269,26-01-2021,476000,0,3520000,86
ABC,APCN00816,26-01-2021,31000,0,2640000,10
PQR,S1CN1142,26-01-2021,348500,0,3520000,68
PQR,S1CN2022,26-01-2021,516300,0,2860000,243
PQR,SPCND067,26-01-2021,425000,0,3520000,70
ABC,APAN11109,26-01-2021,207500,546,3520000,68
ABC,APAN23217,26-01-2021,584100,0,3740000,183
PQR,SPCNG376,26-01-2021,230000,0,3520000,69
PQR,S1CN3514,26-01-2021,531000,0,3520000,125
PQR,S1CN2820,26-01-2021,260700,0,3520000,101
ABC,APAN22403,26-01-2021,237200,0,2420000,44
ABC,APAN35706,26-01-2021,0,0,2860000,0
XYZ,T1NY000166081,26-01-2021,359200,83,3520000,81
ABC,SPCN02020,27-01-2021,595600,3,2640000,167
ABC,TPCN10269,27-01-2021,1005000,12,3520000,140
ABC,APCN00816,27-01-2021,92600,0,2640000,34
PQR,S1CN1142,27-01-2021,293500,11,3520000,72
PQR,S1CN2022,27-01-2021,287000,463,2860000,91
PQR,SPCND067,27-01-2021,566000,0,3520000,130
ABC,APAN11109,27-01-2021,322500,28,3520000,98
ABC,APAN23217,27-01-2021,286200,5,3740000,144
PQR,SPCNG376,27-01-2021,311500,0,3520000,69
PQR,S1CN3514,27-01-2021,161000,492,3520000,39
PQR,S1CN2820,27-01-2021,442300,0,3520000,139
ABC,APAN22403,27-01-2021,59000,931,2420000,9
ABC,APAN35706,27-01-2021,0,0,2860000,0
XYZ,T1NY000166081,27-01-2021,776500,0,3520000,162
ABC,SPCN02020,28-01-2021,543700,5,2640000,161
ABC,TPCN10269,28-01-2021,647500,3,3520000,108
ABC,APCN00816,28-01-2021,49400,0,2640000,17
PQR,S1CN1142,28-01-2021,372500,5,3520000,67
PQR,S1CN2022,28-01-2021,358200,800,2860000,145
PQR,SPCND067,28-01-2021,411500,0,3520000,102
ABC,APAN11109,28-01-2021,416500,15,3520000,118
ABC,APAN23217,28-01-2021,516100,0,3740000,145
PQR,SPCNG376,28-01-2021,252000,0,3520000,67
PQR,S1CN3514,28-01-2021,415000,0,3520000,119
PQR,S1CN2820,28-01-2021,217500,0,3520000,75
ABC,APAN22403,28-01-2021,0,1440,2420000,0
ABC,APAN35706,28-01-2021,29000,7,2860000,11
XYZ,T1NY000166081,28-01-2021,856100,0,3520000,182
ABC,SPCN02020,29-01-2021,536200,0,2640000,137
ABC,TPCN10269,29-01-2021,925000,4,3520000,128
ABC,APCN00816,29-01-2021,68000,0,2640000,20
PQR,S1CN1142,29-01-2021,408000,0,3520000,49
PQR,S1CN2022,29-01-2021,859700,17,2860000,263
PQR,SPCND067,29-01-2021,349500,5,3520000,84
ABC,APAN11109,29-01-2021,682500,0,3520000,167
ABC,APAN23217,29-01-2021,500600,0,3740000,174
PQR,SPCNG376,29-01-2021,192000,109,3520000,82
PQR,S1CN3514,29-01-2021,381500,5,3520000,98
PQR,S1CN2820,29-01-2021,300600,0,3520000,82
ABC,APAN22403,29-01-2021,412300,593,2420000,94
ABC,APAN35706,29-01-2021,5000,0,2860000,5
XYZ,T1NY000166081,29-01-2021,688600,0,3520000,138
ABC,SPCN02020,30-01-2021,847300,3,2640000,222
ABC,TPCN10269,30-01-2021,794500,3,3520000,109
ABC,APCN00816,30-01-2021,104400,2,2640000,28
PQR,S1CN1142,30-01-2021,400000,5,3520000,56
PQR,S1CN2022,30-01-2021,1236000,22,2860000,309
PQR,SPCND067,30-01-2021,648000,11,3520000,111
ABC,APAN11109,30-01-2021,56000,322,3520000,38
ABC,APAN23217,30-01-2021,361700,6,3740000,141
PQR,SPCNG376,30-01-2021,304000,603,3520000,83
PQR,S1CN3514,30-01-2021,459000,0,3520000,141
PQR,S1CN2820,30-01-2021,241000,6,3520000,81
ABC,APAN22403,30-01-2021,400000,0,2420000,108
ABC,APAN35706,30-01-2021,13000,0,2860000,8
XYZ,T1NY000166081,30-01-2021,836900,0,3520000,146
ABC,SPCN02020,31-01-2021,402700,0,2640000,151
ABC,TPCN10269,31-01-2021,392500,0,3520000,98
ABC,APCN00816,31-01-2021,71500,0,2640000,9
PQR,S1CN1142,31-01-2021,454000,0,3520000,49
PQR,S1CN2022,31-01-2021,748700,0,2860000,335
PQR,SPCND067,31-01-2021,427500,33,3520000,77
ABC,APAN11109,31-01-2021,0,0,3520000,17
ABC,APAN23217,31-01-2021,1235700,0,3740000,274
PQR,SPCNG376,31-01-2021,106500,325,3520000,41
PQR,S1CN3514,31-01-2021,475500,0,3520000,127
PQR,S1CN2820,31-01-2021,491500,0,3520000,128
ABC,APAN22403,31-01-2021,144400,6,2420000,39
ABC,APAN35706,31-01-2021,7500,0,2860000,3
XYZ,T1NY000166081,31-01-2021,469600,0,3520000,96
ABC,SPCN02020,01-02-2021,659200,70,2640000,152
ABC,TPCN10269,01-02-2021,715000,4,3520000,124
ABC,APCN00816,01-02-2021,235800,0,2640000,56
PQR,S1CN1142,01-02-2021,339500,44,3520000,41
PQR,S1CN2022,01-02-2021,834500,18,2860000,280
PQR,SPCND067,01-02-2021,1077500,12,3520000,161
ABC,APAN11109,01-02-2021,199000,0,3520000,43
ABC,APAN23217,01-02-2021,350600,0,3740000,131
PQR,SPCNG376,01-02-2021,427000,113,3520000,105
PQR,S1CN3514,01-02-2021,481500,0,3520000,136
PQR,S1CN2820,01-02-2021,320000,0,3520000,127
ABC,APAN22403,01-02-2021,723600,210,2420000,134
ABC,APAN35706,01-02-2021,59000,0,2860000,17
XYZ,T1NY000166081,01-02-2021,557000,680,3520000,125
ABC,SPCN02020,02-02-2021,514200,495,2640000,96
ABC,TPCN10269,02-02-2021,806000,0,3520000,121
ABC,APCN00816,02-02-2021,190600,5,2640000,59
PQR,S1CN1142,02-02-2021,244000,49,3520000,26
PQR,S1CN2022,02-02-2021,1199500,11,2860000,344
PQR,SPCND067,02-02-2021,888500,61,3520000,161
ABC,APAN11109,02-02-2021,172500,0,3520000,30
ABC,APAN23217,02-02-2021,317000,408,3740000,122
PQR,SPCNG376,02-02-2021,560500,0,3520000,123
PQR,S1CN3514,02-02-2021,391000,0,3520000,120
PQR,S1CN2820,02-02-2021,199100,359,3520000,64
ABC,APAN22403,02-02-2021,1255200,0,2420000,184
ABC,APAN35706,02-02-2021,119500,0,2860000,29
XYZ,T1NY000166081,02-02-2021,1130600,0,3520000,222
ABC,SPCN02020,03-02-2021,774900,5,2640000,172
ABC,TPCN10269,03-02-2021,589500,0,3520000,96
ABC,APCN00816,03-02-2021,83200,0,2640000,41
PQR,S1CN1142,03-02-2021,286500,0,3520000,32
PQR,S1CN2022,03-02-2021,779200,10,2860000,258
PQR,SPCND067,03-02-2021,718500,4,3520000,143
ABC,APAN11109,03-02-2021,875500,13,3520000,203
ABC,APAN23217,03-02-2021,770800,6,3740000,213
PQR,SPCNG376,03-02-2021,480000,6,3520000,117
PQR,S1CN3514,03-02-2021,398500,0,3520000,129
PQR,S1CN2820,03-02-2021,388700,0,3520000,117
ABC,APAN22403,03-02-2021,173100,0,2420000,49
ABC,APAN35706,03-02-2021,0,0,2860000,3
XYZ,T1NY000166081,03-02-2021,520300,0,3520000,92
ABC,SPCN02020,04-02-2021,624000,425,2640000,149
ABC,TPCN10269,04-02-2021,653500,2,3520000,121
ABC,APCN00816,04-02-2021,82000,0,2640000,31
PQR,S1CN1142,04-02-2021,125500,359,3520000,23
PQR,S1CN2022,04-02-2021,993000,28,2860000,249
PQR,SPCND067,04-02-2021,749500,0,3520000,137
ABC,APAN11109,04-02-2021,489000,0,3520000,157
ABC,APAN23217,04-02-2021,772100,0,3740000,208
